sastp10,41.8889,0.003628,0.001661
sastp10,41.8889,0.009231,0.001501
sastp10,41.8889,0.003905,0.001815
sastp10,37.5566,0.04807,0.000722
sastp10,37.1494,0.003077,0.001118
sastp10,41.8889,0.003473,0.001429
sastp10,41.8889,0.054443,0.001501
sastp10,41.8889,0.003006,0.001026
sastp10,37.1494,0.005112,0.001583
sastp100,427.197,0.121206,0.085891
sastp100,415.294,0.111359,0.077649
sastp100,435.796,0.094443,0.057997
sastp100,421.624,0.123478,0.087123
sastp100,430.494,0.104213,0.06911
sastp100,430.405,0.123616,0.088627
sastp100,419.535,0.121499,0.085604
sastp100,431.434,0.109351,0.073326
sastp100,422.147,0.11014,0.075472
sastp100,425.951,0.117313,0.08228
sastp100,434.72,0.115719,0.080832
sastp100,411.131,0.101542,0.067075
sastp100,418.838,0.141112,0.105863
sastp100,416.851,0.233742,0.101202
sastp100,446.006,0.401195,0.320486
sastp100,426.97,0.102503,0.067157
sastp100,422.621,0.111653,0.077651
sastp100,422.262,0.113784,0.080356
sastp100,428.666,0.166354,0.130989
sastp100,433.477,0.09813,0.063315
sastp100,432.874,0.120085,0.084561
sastp100,407.723,0.108298,0.074557
sastp100,411.393,0.119911,0.08461
sastp100,415.197,0.10319,0.069369
sastp100,412.99,0.116683,0.080869
sastp100,417.022,0.098099,0.064493
sastp100,424.189,0.148542,0.113515
sastp100,423.682,0.093355,0.05891
sastp100,428.513,0.107499,0.072122
sastp100,420.438,0.107646,0.072622
sastp1000,4141.82,0.943505,0.545449
sastp1000,4149.64,0.606603,0.302453
sastp1000,4190.1,0.807224,0.431046
sastp1000,4104.62,0.709622,0.362482
sastp1000,4213.31,0.661502,0.306792
sastp20,59.385,0.010696,0.005514
sastp20,61.0629,0.012306,0.006104
sastp20,68.8335,0.010541,0.00536
sastp20,62.4757,0.013482,0.008329
sastp20,63.8931,0.013415,0.008168
sastp20,57.6277,0.010921,0.006022
sastp20,63.9415,0.011757,0.006723
sastp20,64.4885,0.010714,0.005758
sastp20,60.9761,0.013462,0.008101
sastp20,60.2008,0.011456,0.006372
sastp20,57.3981,0.010315,0.005454
sastp20,59.0382,0.014196,0.009223
sastp20,60.9127,0.012935,0.007721
sastp20,65.5075,0.011363,0.006429
sastp20,63.4219,0.013937,0.00868
sastp20,57.7182,0.01133,0.006488
sastp20,70.4935,0.011522,0.006215
sastp20,62.728,0.013517,0.008249
sastp20,61.3449,0.011425,0.006266
sastp20,70.1458,0.012314,0.007208
sastp20,53.8125,0.008469,0.003556
sastp20,66.0892,0.010318,0.005449
sastp20,57.4356,0.019004,0.013523
sastp20,63.5985,0.014599,0.009494
sastp20,61.3579,0.015938,0.010715
sastp20,54.3965,0.010232,0.005389
sastp20,59.5768,0.009765,0.00491
sastp20,61.4095,0.01525,0.010401
sastp20,63.4133,0.016172,0.011429
sastp20,62.8979,0.011706,0.006953
sastp200,796.978,0.239592,0.169575
sastp200,762.912,0.253232,0.18553
sastp200,796.472,0.275079,0.205371
sastp200,763.464,0.222516,0.156758
sastp200,760.708,0.180559,0.115264
sastp200,778.918,0.271964,0.201596
sastp200,788.279,0.280592,0.211614
sastp200,795.401,0.226345,0.157341
sastp200,802.777,0.249344,0.179323
sastp200,792.308,0.226207,0.158745
sastp200,774.448,0.253911,0.18511
sastp200,769.212,0.283455,0.215363
sastp200,788.498,0.327433,0.257656
sastp200,800.473,0.267624,0.197834
sastp200,776.12,0.225577,0.153268
sastp200,772.933,0.251157,0.18425
sastp200,780.143,0.331828,0.260841
sastp200,792.167,0.27148,0.203161
sastp200,775.171,0.248367,0.178928
sastp200,753.72,0.220396,0.1563
